index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry,group_id
0,-11.8005,-52.5333,,4.0,1.9,2015-09-11,1633,Aqua,MODIS,100,6.2,,6282.3,0.0,D,460.2,306.5,2015,9,11,16,33,2015-09-11 16:33:00,Sep,POINT (-52.5333 -11.8005),098
0,-11.8049,-52.5287,,4.0,1.9,2015-09-11,1633,Aqua,MODIS,100,6.2,,6427.3,0.0,D,461.5,305.9,2015,9,11,16,33,2015-09-11 16:33:00,Sep,POINT (-52.5287 -11.8049),099
0,-6.4386,-55.2715,,4.1,1.9,2015-09-18,1641,Aqua,MODIS,0,6.2,,6785.5,0.0,D,462.0,309.5,2015,9,18,16,41,2015-09-18 16:41:00,Sep,POINT (-55.2715 -6.4386),100
0,-11.1519,-52.4549,,1.2,1.1,2016-09-05,1722,Aqua,MODIS,100,6.2,,1661.9,0.0,D,484.8,338.1,2016,9,5,17,22,2016-09-05 17:22:00,Sep,POINT (-52.4549 -11.1519),001
0,-6.9968,-59.3187,,3.8,1.8,2016-08-24,1659,Aqua,MODIS,100,6.2,,1673.2,0.0,D,399.5,296.6,2016,8,24,16,59,2016-08-24 16:59:00,Aug,POINT (-59.3187 -6.9968),002
0,-10.0942,-64.8071,,2.1,1.4,2016-08-26,1824,Aqua,MODIS,100,6.2,,1673.7,0.0,D,440.2,303.4,2016,8,26,18,24,2016-08-26 18:24:00,Aug,POINT (-64.80710000000001 -10.0942),003
0,-9.6917,-44.0449,,4.3,1.9,2016-11-06,1556,Aqua,MODIS,100,6.2,,1677.2,0.0,D,393.3,307.4,2016,11,6,15,56,2016-11-06 15:56:00,Nov,POINT (-44.0449 -9.691700000000001),004
0,-9.9348,-43.5308,,1.2,1.1,2016-10-29,1645,Aqua,MODIS,94,6.2,,1700.2,0.0,D,487.0,400.1,2016,10,29,16,45,2016-10-29 16:45:00,Oct,POINT (-43.5308 -9.934799999999999),005
0,-7.2248,-44.1264,,2.6,1.5,2016-07-30,1704,Aqua,MODIS,100,6.2,,1704.7,0.0,D,425.2,319.4,2016,7,30,17,4,2016-07-30 17:04:00,Jul,POINT (-44.1264 -7.2248),006
0,-11.8146,-58.8719,,2.4,1.5,2016-10-09,1710,Aqua,MODIS,100,6.2,,1717.4,0.0,D,431.5,303.5,2016,10,9,17,10,2016-10-09 17:10:00,Oct,POINT (-58.8719 -11.8146),007
0,-9.019,-58.966,,3.8,1.8,2016-08-24,1658,Aqua,MODIS,100,6.2,,1731.1,0.0,D,400.5,299.1,2016,8,24,16,58,2016-08-24 16:58:00,Aug,POINT (-58.966 -9.019),008
