frp,latitude,longitude,instrument,is_top_point
1.6,-9.23343,-65.37031999999999,VIIRS,False
0.8,-9.240039999999999,-65.34979,VIIRS,False
2.1,-9.23617,-65.35276999999999,VIIRS,False
2.3,-9.24506,-65.36138000000001,VIIRS,False
1.5,-9.22193,-65.44399,VIIRS,False
1.1,-9.2208,-65.42944,VIIRS,False
2.0,-9.21082,-65.42786,VIIRS,False
2.4,-9.2075,-65.42733,VIIRS,False
1.9,-9.238439999999999,-65.3819,VIIRS,False
0.8,-9.23672,-65.34926999999999,VIIRS,False
1.7,-9.23289,-65.37383,VIIRS,False
1.2,-9.22412,-65.42997,VIIRS,False
2.3,-9.246739999999999,-65.37243000000001,VIIRS,False
2.1,-9.25339,-65.3735,VIIRS,False
1.9,-9.2384,-65.36032,VIIRS,False
2.1,-9.2395,-65.3533,VIIRS,False
1.9,-9.237860000000001,-65.36381999999999,VIIRS,False
3.2,-9.240089999999999,-65.37137,VIIRS,False
1.0,-9.252839999999999,-65.37701,VIIRS,False
1.0,-9.24282,-65.35383,VIIRS,False
2.5,-9.24232,-65.37892,VIIRS,False
1.0,-9.2456,-65.35786999999999,VIIRS,False
3.2,-9.243960000000001,-65.36839,VIIRS,False
1.7,-9.232339999999999,-65.37733,VIIRS,False
2.1,-9.24881,-65.36739,VIIRS,False
31.1,-9.20933,-65.44378,VIIRS,False
6.4,-9.2013,-65.43739000000001,VIIRS,False
16.4,-9.20756,-65.43259,VIIRS,False
31.1,-9.2065,-65.44804,VIIRS,False
124.4,-9.215580000000001,-65.43896,VIIRS,False
60.2,-9.21441,-65.43153000000001,VIIRS,False
8.5,-9.20473,-65.43685,VIIRS,False
8.5,-9.20815,-65.43630999999999,VIIRS,False
124.4,-9.215,-65.43524000000001,VIIRS,False
60.2,-9.21382,-65.42781,VIIRS,False
124.4,-9.21157,-65.43578000000001,VIIRS,False
127.7,-9.21677,-65.44644,VIIRS,False
8.5,-9.208739999999999,-65.44004,VIIRS,False
60.2,-9.21039,-65.42834,VIIRS,False
31.1,-9.205910000000001,-65.44431,VIIRS,False
127.7,-9.21275,-65.44324,VIIRS,False
1.2,-9.20988,-65.43762,VIIRS,False
0.6,-9.205210000000001,-65.43327,VIIRS,False
0.6,-9.21048,-65.43426,VIIRS,False
5.5,-9.21913,-65.43254,VIIRS,False
7.2,-9.25681,-65.3763,VIIRS,False
5.4,-9.22357,-65.43382,VIIRS,False
15.2,-9.24656,-65.35951999999999,VIIRS,False
14.2,-9.23651,-65.37942,VIIRS,False
0.7,-9.24871,-65.36366,VIIRS,False
1.5,-9.2539,-65.37613,VIIRS,False
0.6,-9.20475,-65.43144000000001,VIIRS,False
0.6,-9.24526,-65.36312,VIIRS,False
3.1,-9.2349,-65.36147,VIIRS,False
3.2,-9.25159,-65.368,VIIRS,False
1.2,-9.23207,-65.38043,VIIRS,False
0.6,-9.204180000000001,-65.4352,VIIRS,False
26.9,-9.25256,-65.36922,VIIRS,False
4.3,-9.2078,-65.43567,VIIRS,False
20.9,-9.2515,-65.36632,VIIRS,False
16.0,-9.25256,-65.37215,VIIRS,False
29.5,-9.201830000000001,-65.43092,VIIRS,False
26.9,-9.25356,-65.37496,VIIRS,False
4.3,-9.21378,-65.44051,VIIRS,False
16.0,-9.253589999999999,-65.37782,VIIRS,False
2.7,-9.23524,-65.34737,VIIRS,False
0.7,-9.2219,-65.42761,VIIRS,False
4.3,-9.21768,-65.43106,VIIRS,False
1.6,-9.20283,-65.43273,VIIRS,False
1.2,-9.20094,-65.42966,VIIRS,False
2.7,-9.23877,-65.34795,VIIRS,False
4.3,-9.21481,-65.42643000000001,VIIRS,False
1.6,-9.19928,-65.43214,VIIRS,False
1.2,-9.20383,-65.43432,VIIRS,False
1.6,-9.252460000000001,-65.37494000000001,VIIRS,False
4.3,-9.21835,-65.42702,VIIRS,False
0.6,-9.20637,-65.43333,VIIRS,False
1.2,-9.200280000000001,-65.43370999999999,VIIRS,False
4.3,-9.214139999999999,-65.43046,VIIRS,False
0.7,-9.221219999999999,-65.43166,VIIRS,False
7.8,-9.20657,-65.42775999999999,VIIRS,False
21.0,-9.22087,-65.42715,VIIRS,False
6.4,-9.19924,-65.42894,VIIRS,False
31.9,-9.21825,-65.43032,VIIRS,False
31.9,-9.21757,-65.426,VIIRS,False
21.0,-9.22158,-65.43145,VIIRS,False
3.5,-9.23302,-65.34057,VIIRS,False
5.0,-9.221919999999999,-65.42973,VIIRS,False
5.0,-9.22123,-65.42541999999999,VIIRS,False
21.0,-9.2172,-65.42773000000001,VIIRS,False
8.4,-9.21596,-65.43951,VIIRS,False
31.9,-9.21459,-65.43091,VIIRS,False
5.7,-9.219330000000001,-65.44063,VIIRS,False
31.9,-9.2139,-65.42659,VIIRS,False
6.4,-9.19993,-65.43325,VIIRS,False
6.4,-9.20359,-65.43266,VIIRS,False
4.3,-9.21665,-65.44384000000001,VIIRS,False
21.0,-9.21791,-65.43203000000001,VIIRS,False
8.6,-9.21649,-65.42341,VIIRS,False
4.9,-9.23278,-65.38515,VIIRS,False
2.7,-9.23087,-65.342,VIIRS,False
2.5,-9.216510000000001,-65.42381,VIIRS,False
1.2,-9.2061,-65.42721999999999,VIIRS,False
2.5,-9.2156,-65.42893000000001,VIIRS,False
1.9,-9.20045,-65.43153000000001,VIIRS,False
1.9,-9.22035,-65.42981,VIIRS,False
2.0,-9.2356,-65.3428,VIIRS,False
1.3,-9.22097,-65.42783,VIIRS,False
4.3,-9.20045,-65.42899,VIIRS,False
5.5,-9.20721,-65.42797,VIIRS,False
23.8,-9.219510000000001,-65.44097,VIIRS,False
45.6,-9.20937,-65.44248,VIIRS,False
1.4,-9.21438,-65.43179,VIIRS,False
1.2,-9.21332,-65.43739000000001,VIIRS,False
2.3,-9.22883,-65.39025,VIIRS,False
